%time,field.header.seq,field.header.stamp,field.header.frame_id,field.distanceA,field.distanceB,field.distanceC,field.distanceD,field.distanceE,field.distanceF,field.distanceG,field.distanceH
1710773604202120553,25782,1710773604201655291,,0.45300000906,0.65499997139,0.5,0.248999997973,0.138999998569,0.704999983311,0.0320000015199,0.0
1710773604252199647,25783,1710773604251670218,,0.404000014067,0.652999997139,0.5,0.248999997973,0.136999994516,0.70300000906,0.0320000015199,0.0
1710773604302341449,25784,1710773604301799260,,0.507000029087,0.652999997139,0.499000012875,0.286000013351,0.135000005364,0.703999996185,0.0320000015199,0.0
1710773604352115906,25785,1710773604351595331,,0.559000015259,0.653999984264,0.503000020981,0.286000013351,0.131999999285,0.703999996185,0.0320000015199,0.0
1710773604402289896,25786,1710773604401614425,,0.559000015259,0.65600001812,0.505999982357,0.418999999762,0.135000005364,0.704999983311,0.0320000015199,0.0
1710773604452105551,25787,1710773604451661591,,0.559000015259,0.652000010014,0.569000005722,0.381000012159,0.135000005364,0.703999996185,0.0320000015199,0.0
1710773604502102093,25788,1710773604501631830,,0.509000003338,0.652000010014,0.632000029087,0.381000012159,0.135000005364,0.704999983311,0.0320000015199,0.0
1710773604551993842,25789,1710773604551601028,,0.505999982357,0.649999976158,0.566999971867,0.344999998808,0.134000003338,0.702000021935,0.0320000015199,0.0
1710773604601968300,25790,1710773604601602048,,0.455000013113,0.65600001812,0.566999971867,0.254000008106,0.134000003338,0.702000021935,0.0320000015199,0.0
1710773604652092445,25791,1710773604651571246,,0.456000000238,0.658999979496,0.504000008106,0.328999996185,0.134000003338,0.699999988079,0.0320000015199,0.0
1710773604702216539,25792,1710773604701575183,,0.504999995232,0.658999979496,0.503000020981,0.326999992132,0.136000007391,0.700999975204,0.0320000015199,0.0
1710773604752111257,25793,1710773604751572818,,0.507000029087,0.657000005245,0.501999974251,0.326999992132,0.136999994516,0.699999988079,0.0320000015199,0.0
1710773604802089205,25794,1710773604801590974,,0.505999982357,0.649999976158,0.565999984741,0.248999997973,0.137999996543,0.70300000906,0.0320000015199,0.0
1710773604852132934,25795,1710773604851573296,,0.505999982357,0.648000001907,0.572000026703,0.24699999392,0.135000005364,0.703999996185,0.0320000015199,0.0
1710773604902231767,25796,1710773604901579212,,0.500999987125,0.644999980927,0.500999987125,0.209000006318,0.140000000596,0.703999996185,0.0320000015199,0.0
1710773604952027057,25797,1710773604951572629,,0.451999992132,0.644999980927,0.499000012875,0.209000006318,0.140000000596,0.70300000906,0.0320000015199,0.0
1710773605002001880,25798,1710773605001613232,,0.455000013113,0.644999980927,0.559000015259,0.172000005841,0.141000002623,0.70300000906,0.0320000015199,0.0
1710773605052314258,25799,1710773605051885558,,0.400999993086,0.651000022888,0.500999987125,0.21099999547,0.137999996543,0.703999996185,0.0320000015199,0.0
1710773605102078248,25800,1710773605101587048,,0.453999996185,0.651000022888,0.446999996901,0.211999997497,0.134000003338,0.703999996185,0.0320000015199,0.0
1710773605152310886,25801,1710773605151622498,,0.453999996185,0.653999984264,0.386999994516,0.324999988079,0.130999997258,0.70300000906,0.0320000015199,0.0
1710773605202211492,25802,1710773605201617792,,0.458999991417,0.657999992371,0.448000013828,0.363000005484,0.131999999285,0.705999970436,0.0320000015199,0.0
1710773605252099441,25803,1710773605251562981,,0.458999991417,0.662000000477,0.444999992847,0.365000009537,0.136000007391,0.705999970436,0.0320000015199,0.0
1710773605302067912,25804,1710773605301630827,,0.456999987364,0.662000000477,0.439999997616,0.381000012159,0.136000007391,0.705999970436,0.0320000015199,0.0
1710773605352025184,25805,1710773605351566224,,0.505999982357,0.663999974728,0.384000003338,0.381000012159,0.135000005364,0.704999983311,0.0320000015199,0.0
1710773605402053863,25806,1710773605401628601,,0.554000020027,0.662000000477,0.388999998569,0.342000007629,0.135000005364,0.70300000906,0.0320000015199,0.0
1710773605452145147,25807,1710773605451587332,,0.60900002718,0.660000026226,0.45300000906,0.212999999523,0.135000005364,0.70300000906,0.0320000015199,0.0
1710773605502115961,25808,1710773605501578980,,0.558000028133,0.65600001812,0.446999996901,0.173999994993,0.136999994516,0.700999975204,0.0320000015199,0.0
1710773605552253546,25809,1710773605551693128,,0.505999982357,0.653999984264,0.508000016212,0.211999997497,0.136999994516,0.699999988079,0.0320000015199,0.0
1710773605602258788,25810,1710773605601624306,,0.504999995232,0.648000001907,0.507000029087,0.247999995947,0.137999996543,0.699999988079,0.0320000015199,0.0
1710773605652144081,25811,1710773605651623402,,0.505999982357,0.647000014782,0.566999971867,0.247999995947,0.138999998569,0.700999975204,0.0320000015199,0.0
1710773605702099739,25812,1710773605701588799,,0.610000014305,0.649999976158,0.507000029087,0.211999997497,0.137999996543,0.700999975204,0.0320000015199,0.0
1710773605752094407,25813,1710773605751608468,,0.610000014305,0.649999976158,0.442999988794,0.211999997497,0.136999994516,0.700999975204,0.0320000015199,0.0
1710773605802154024,25814,1710773605801610845,,0.60900002718,0.65600001812,0.449000000954,0.17499999702,0.134000003338,0.700999975204,0.0320000015199,0.0
1710773605852060880,25815,1710773605851548013,,0.60799998045,0.651000022888,0.433999985456,0.211999997497,0.134000003338,0.702000021935,0.0320000015199,0.0
1710773605902138673,25816,1710773605901595338,,0.60900002718,0.649999976158,0.497000008821,0.212999999523,0.136000007391,0.70300000906,0.0320000015199,0.0
1710773605952149800,25817,1710773605951574433,,0.60900002718,0.646000027657,0.493999987841,0.212999999523,0.136000007391,0.703999996185,0.0320000015199,0.0
